month_start,medicine_code,medicine_name,quantity_dispensed,data_source
2021-01-01,SYN-MED-001,Paracetamol 500 mg Tablet,504,SYNTHETIC_DEVELOPMENT_DATA
2021-01-01,SYN-MED-002,Oral Rehydration Salts Sachet,285,SYNTHETIC_DEVELOPMENT_DATA
2021-01-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,465,SYNTHETIC_DEVELOPMENT_DATA
2021-01-01,SYN-MED-004,Cetirizine 10 mg Tablet,298,SYNTHETIC_DEVELOPMENT_DATA
2021-01-01,SYN-MED-005,Amoxicillin 500 mg Capsule,230,SYNTHETIC_DEVELOPMENT_DATA
2021-01-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,217,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,SYN-MED-001,Paracetamol 500 mg Tablet,596,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,SYN-MED-002,Oral Rehydration Salts Sachet,306,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,473,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,SYN-MED-004,Cetirizine 10 mg Tablet,348,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,SYN-MED-005,Amoxicillin 500 mg Capsule,172,SYNTHETIC_DEVELOPMENT_DATA
2021-02-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,177,SYNTHETIC_DEVELOPMENT_DATA
2021-03-01,SYN-MED-001,Paracetamol 500 mg Tablet,680,SYNTHETIC_DEVELOPMENT_DATA
2021-03-01,SYN-MED-002,Oral Rehydration Salts Sachet,269,SYNTHETIC_DEVELOPMENT_DATA
2021-03-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,471,SYNTHETIC_DEVELOPMENT_DATA
2021-03-01,SYN-MED-004,Cetirizine 10 mg Tablet,350,SYNTHETIC_DEVELOPMENT_DATA
2021-03-01,SYN-MED-005,Amoxicillin 500 mg Capsule,195,SYNTHETIC_DEVELOPMENT_DATA
2021-03-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,215,SYNTHETIC_DEVELOPMENT_DATA
2021-04-01,SYN-MED-001,Paracetamol 500 mg Tablet,625,SYNTHETIC_DEVELOPMENT_DATA
2021-04-01,SYN-MED-002,Oral Rehydration Salts Sachet,286,SYNTHETIC_DEVELOPMENT_DATA
2021-04-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,408,SYNTHETIC_DEVELOPMENT_DATA
2021-04-01,SYN-MED-004,Cetirizine 10 mg Tablet,308,SYNTHETIC_DEVELOPMENT_DATA
2021-04-01,SYN-MED-005,Amoxicillin 500 mg Capsule,185,SYNTHETIC_DEVELOPMENT_DATA
2021-04-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,146,SYNTHETIC_DEVELOPMENT_DATA
2021-05-01,SYN-MED-001,Paracetamol 500 mg Tablet,621,SYNTHETIC_DEVELOPMENT_DATA
2021-05-01,SYN-MED-002,Oral Rehydration Salts Sachet,300,SYNTHETIC_DEVELOPMENT_DATA
2021-05-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,344,SYNTHETIC_DEVELOPMENT_DATA
2021-05-01,SYN-MED-004,Cetirizine 10 mg Tablet,308,SYNTHETIC_DEVELOPMENT_DATA
2021-05-01,SYN-MED-005,Amoxicillin 500 mg Capsule,168,SYNTHETIC_DEVELOPMENT_DATA
2021-05-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,127,SYNTHETIC_DEVELOPMENT_DATA
